split,coarse_task_group,n
Algorithm-Generated,Documents / web / scholarly evidence,27
Algorithm-Generated,Entertainment / media / arts,21
Algorithm-Generated,Math / logic / puzzle solving,17
Algorithm-Generated,Science / health / environment / public data,16
Algorithm-Generated,Local travel / place finding,15
Algorithm-Generated,People / organizations / history,12
Algorithm-Generated,Price / market / economic comparison,10
Algorithm-Generated,Software / code / technical tasks,8
Hand-Crafted,Local travel / place finding,11
Hand-Crafted,Price / market / economic comparison,11
Hand-Crafted,Documents / web / scholarly evidence,10
Hand-Crafted,Entertainment / media / arts,9
Hand-Crafted,Science / health / environment / public data,6
Hand-Crafted,Software / code / technical tasks,5
Hand-Crafted,People / organizations / history,4
Hand-Crafted,Math / logic / puzzle solving,2

